Price,Close,High,Low,Open,Volume,symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,GS,GS,GS,GS,GS,BAC,BAC,BAC,BAC,BAC,JNJ,JNJ,JNJ,JNJ,JNJ,UNH,UNH,UNH,UNH,UNH,AMZN,AMZN,AMZN,AMZN,AMZN,WMT,WMT,WMT,WMT,WMT,KO,KO,KO,KO,KO,CAT,CAT,CAT,CAT,CAT,BA,BA,BA,BA,BA
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-20,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.44739532470703,59.86543547864459,59.34288438014219,59.78942982534769,11000900.0,,,,,,,,,,
2024-05-21,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.77042770385742,59.83693400983312,59.3238822571733,59.68491907841412,9796200.0,,,,,,,,,,
2024-05-22,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.85594177246094,59.87494409365657,59.53290956077953,59.58041355160753,7419400.0,,,,,,,,,,
2024-05-23,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.991355895996094,59.74193127128209,58.95335125373099,59.37139507000278,9834300.0,,,,,,,,,,
2024-05-24,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.90584182739258,59.30487966138753,58.87734016048489,59.11486371624051,8203100.0,,,,,,,,,,
2024-05-28,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.73482894897461,59.02935948478953,58.335791085279006,58.70632727994552,12347000.0,,,,,,,,,,
2024-05-29,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.620819091796875,58.79183635590874,58.02225866740536,58.402297837503305,11861800.0,,,,,,,,,,
2024-05-30,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.87734603881836,58.98185699367673,58.52580853169071,58.76333211116075,9433800.0,,,,,,,,,,
2024-05-31,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.789432525634766,59.88444050262722,58.61131403958946,58.89634521921084,19816600.0,,,,,,,,,,
2024-06-03,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.789432525634766,59.9414474634159,59.333387712291355,59.58041062706495,9369000.0,,,,,,,,,,
2024-06-04,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7490234375,60.77752872878686,59.79892921256638,60.04595574066935,11895600.0,,,,,,,,,,
2024-06-05,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.73002243041992,60.87253801696837,60.18846900045087,60.796532361978606,9632500.0,,,,,,,,,,
2024-06-06,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.948543548583984,61.14806245802596,60.654013045844614,60.73001869616083,8658500.0,,,,,,,,,,
2024-06-07,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.72053146362305,61.01506202512556,60.62552347569188,60.891545117034674,9523100.0,,,,,,,,,,
2024-06-10,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41649627685547,60.796535444035996,60.20747437247396,60.74902782989685,15685300.0,,,,,,,,,,
2024-06-11,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.37849044799805,60.47350205008593,59.92244563094228,60.4164950888332,8396000.0,,,,,,,,,,
2024-06-12,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.74192428588867,60.51149826800172,59.561404068398055,60.51149826800172,9569600.0,,,,,,,,,,
2024-06-13,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.846439361572266,59.89394334996939,59.333387588510504,59.72292609228214,9668900.0,,,,,,,,,,
2024-06-14,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.889522552490234,60.02356726401626,59.44908888534916,59.72675501776419,8179200.0,,,,,,,,,,
2024-06-17,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.956546783447266,60.22463986732862,59.53526286941166,59.717180176108826,10532700.0,,,,,,,,,,
2024-06-18,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.96611785888672,60.14803514849152,59.784196916837686,59.87036903348085,10651700.0,,,,,,,,,,
2024-06-20,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.535255432128906,60.07143788046589,59.315038619180896,59.74589918905489,13306300.0,,,,,,,,,,
